Date,NVDA,AAPL,NFLX,ORCL,META,MSFT,ADBE,GOOGL,MCD,TSLA
2023/3/1,27.78,164.9,345.48,92.92,211.94,288.3,385.37,103.73,279.61,207.46
2023/6/1,42.3,193.97,440.49,119.09,286.98,340.54,488.99,119.7,298.41,261.77
2023/9/1,43.5,171.21,377.6,105.92,300.21,315.75,509.9,130.86,263.44,250.22
2023/12/1,49.52,192.53,486.88,105.43,353.96,376.04,596.6,139.69,296.51,248.48
2024/3/1,90.36,171.48,607.33,125.61,485.58,420.72,504.6,150.93,281.95,175.79
2024/6/1,123.54,210.62,674.88,141.2,504.22,446.95,555.54,182.15,254.84,197.88
2024/9/3,121.44,233,709.27,170.4,572.44,430.3,517.78,165.85,304.51,261.63
2024/12/2,134.29,250.42,891.32,166.64,585.51,421.5,444.68,189.3,289.89,403.84
2025/3/3,108.38,222.13,932.53,139.81,576.36,375.39,383.53,154.64,312.37,259.16
